Latin Name - Sanskrit - Translation
ākarṇa dhanurāsana	आकर्ण धनुरासन	akarna dhanurasana
ardha bhekāsana	अर्ध भेकासन	ardha bhekasana
ardha candrāsana	अर्ध चन्द्रासन	ardha chandrasana
ardha candra cāpāsana	अर्ध चन्द्र चापासन	ardha chandra chapasana
baddha ardha candrāsana	बद्ध अर्ध चन्द्रासन	baddha ardha chandrasana
parivṛtta ardha candrāsana	परिवृत्त अर्ध चन्द्रासन	parivritta ardha chandrasana
parivṛtta baddha ardha candrāsana	परिवृत्त बद्ध अर्ध चन्द्रासन	parivritta baddha ardha chandrasana
adho mukha vṛkṣāsana	अधो मुख वृक्षासन	adho mukha vrikshasana
vṛścikāsana b	वृश्चिकासन ब्	vrischikasana b
jānu śīrṣāsana a	जानु शीर्षासन अ	janu shirshasana a
jānu śīrṣāsana b	जानु शीर्षासन ब्	janu shirshasana b
jānu śīrṣāsana c	जानु शीर्षासन च्	janu shirshasana c
parivṛtta jānu śīrṣāsana	परिवृत्त जानु शीर्षासन	parivritta janu shirshasana
sālamba śīrṣāsana a	सालम्ब शीर्षासन अ	salamba shirshasana a
baddha koṇa śīrṣāsana	बद्ध कोण शीर्षासन	baddha kona shirshasana
ūrdhva daṇḍāsana	ऊर्ध्व दण्डासन	urdhva dandasana
sālamba śīrṣāsana b	सालम्ब शीर्षासन ब्	salamba shirshasana b
sālamba śīrṣāsana c	सालम्ब शीर्षासन च्	salamba shirshasana c
sālamba śīrṣāsana d	सालम्ब शीर्षासन द्	salamba shirshasana d
padma śīrṣāsana	पद्म शीर्षासन	padma shirshasana
pārśva padma śīrṣāsana	पार्श्व पद्म शीर्षासन	parshva padma shirshasana
eka pāda śīrṣāsana	एक पाद शीर्षासन	eka pada shirshasana
pārśva eka pāda śīrṣāsana	पार्श्व एक पाद शीर्षासन	parshva eka pada shirshasana
parivṛtta eka pāda śīrṣāsana	परिवृत्त एक पाद शीर्षासन	parivritta eka pada shirshasana
pārśva śīrṣāsana	पार्श्व शीर्षासन	parshva shirshasana
ākuñcanāsana	आकुञ्चनासन	akunchanasana
mukta hasta śīrṣāsana a	मुक्त हस्त शीर्षासन अ	mukta hasta shirshasana a
parivṛtta eka pāda śīrṣāsana b	परिवृत्त एक पाद शीर्षासन ब्	parivritta eka pada shirshasana b
mukta hasta śīrṣāsana b	मुक्त हस्त शीर्षासन ब्	mukta hasta shirshasana b
mukta hasta śīrṣāsana c	मुक्त हस्त शीर्षासन च्	mukta hasta shirshasana c
vīrāsana	वीरासन	virasana
ardha vīrāsana	अर्ध वीरासन	ardha virasana
supta ardha vīrāsana	सुप्त अर्ध वीरासन	supta ardha virasana
supta vīrāsana	सुप्त वीरासन	supta virasana
utthita supta vīrāsana	उत्थित सुप्त वीरासन	utthita supta virasana
parivṛtta vīrāsana	परिवृत्त वीरासन	parivritta virasana
krauñcāsana	क्रौञ्चासन	kraunchasana
vātāyanāsana	वातायनासन	vatayanasana
gomukhāsana	गोमुखासन	gomukhasana
gomukhāsana	गोमुखासन	gomukhasana
laghu vajrāsana	लघु वज्रासन	laghu vajrasana
uttāna pristhāsana	उत्तान प्रिस्थासन	uttana pristhasana
uttāna pristhāsana	उत्तान प्रिस्थासन	uttana pristhasana
śalabhāsana a	शलभासन अ	shalabhasana a
viparīta śalabhāsana	विपरीत शलभासन	viparita shalabhasana
ardha śalabhāsana	अर्ध शलभासन	ardha shalabhasana
śalabhāsana b	शलभासन ब्	shalabhasana b
śalabhāsana c	शलभासन च्	shalabhasana c
daṇḍayamana dhanurāsana	दण्डयमन धनुरासन	dandayamana dhanurasana
naṭarājāsana	नटराजासन	natarajasana
parivṛtta naṭarājāsana	परिवृत्त नटराजासन	parivritta natarajasana
paripūrṇa matsyendrāsana	परिपूर्ण मत्स्येन्द्रासन	paripurna matsyendrasana
ardha matsyendrāsana	अर्ध मत्स्येन्द्रासन	ardha matsyendrasana
baddha padmāsana	बद्ध पद्मासन	baddha padmasana
yoga mudrāsana	योग मुद्रासन	yoga mudrasana
tolāsana	तोलासन	tolasana
